flex,fsr1,fsr2,fsr3,pitch,roll,label
0,15.48,0.00,17.61,-25.33,21.46,Standing
0,15.27,0.00,17.43,-25.32,21.46,Standing
0,15.21,0.00,17.25,-25.32,21.42,Standing
0,15.43,0.00,17.38,-25.31,21.41,Standing
0,15.93,0.00,17.65,-25.30,21.43,Standing
0,15.62,0.00,17.31,-25.28,21.41,Standing
0,16.07,0.00,17.59,-25.27,21.39,Standing
0,15.46,0.00,17.34,-25.28,21.31,Standing
0,15.31,0.00,17.24,-25.27,21.39,Standing
0,15.15,0.00,17.18,-25.25,21.36,Standing
0,15.49,0.00,17.23,-25.23,21.33,Standing
0,15.16,0.00,17.12,-25.20,21.29,Standing
0,14.99,0.00,17.02,-25.18,21.29,Standing
0,15.52,0.00,17.36,-25.17,21.27,Standing
0,14.66,0.00,17.23,-25.15,21.25,Standing
0,13.57,0.00,16.81,-25.14,21.23,Standing
0,13.73,0.00,16.67,-25.10,21.37,Standing
0,13.85,0.00,16.60,-25.09,21.38,Standing
0,13.95,0.00,16.54,-25.07,21.40,Standing
0,14.39,0.00,16.73,-25.07,21.39,Standing
0,15.02,0.00,16.97,-25.08,21.41,Standing
0,15.55,0.00,17.22,-25.09,21.35,Standing
0,15.95,0.00,17.44,-25.06,21.33,Standing
0,15.15,0.00,16.98,-25.06,21.26,Standing
0,14.59,0.00,16.70,-25.05,21.28,Standing
0,14.55,0.00,16.68,-25.04,21.29,Standing
0,14.50,0.00,16.65,-25.03,21.26,Standing
0,14.41,0.00,16.44,-25.01,21.24,Standing
0,14.64,0.00,16.11,-25.01,21.30,Standing
0,15.22,0.00,16.54,-25.02,21.27,Standing
0,15.67,0.00,16.94,-25.04,21.21,Standing
0,15.41,0.00,17.01,-25.04,21.19,Standing
0,15.19,0.00,16.93,-25.03,21.39,Standing
0,15.02,0.00,16.79,-25.04,21.38,Standing
0,14.89,0.00,16.59,-25.04,21.32,Standing
0,15.44,0.00,16.86,-25.03,21.29,Standing
0,15.91,0.00,17.13,-25.03,21.26,Standing
0,16.31,0.00,17.32,-25.04,21.21,Standing
0,16.52,0.00,17.60,-25.05,21.19,Standing
0,15.61,0.00,17.27,-25.06,21.13,Standing
0,15.15,0.00,17.18,-25.05,21.23,Standing
0,14.96,0.00,17.23,-25.05,21.23,Standing
0,14.90,0.00,17.27,-25.06,21.20,Standing
0,14.71,0.00,17.28,-25.07,21.17,Standing
0,15.26,0.00,17.63,-25.08,21.17,Standing
0,15.59,0.00,17.90,-25.10,21.13,Standing
0,15.97,0.00,18.12,-25.11,21.07,Standing
0,16.18,0.00,18.23,-25.11,21.04,Standing
0,15.78,0.00,18.05,-25.12,21.15,Standing
0,15.86,0.00,17.89,-25.12,21.17,Standing
0,15.53,0.00,17.79,-25.10,21.15,Standing
0,14.74,0.00,17.47,-25.13,21.13,Standing
0,15.26,0.00,17.79,-25.15,21.16,Standing
0,15.69,0.00,18.08,-25.17,21.13,Standing
