flex,fsr1,fsr2,fsr3,pitch,roll,label
283,1.82,0.00,15.40,69.04,25.11,Sitting
255,1.05,0.00,15.20,69.02,25.07,Sitting
233,0.73,0.00,15.15,69.01,25.23,Sitting
208,1.56,0.00,15.06,69.04,25.22,Sitting
190,1.47,0.00,15.02,69.06,25.17,Sitting
200,2.14,0.00,15.29,69.09,25.11,Sitting
209,2.75,0.00,15.56,69.10,25.10,Sitting
209,2.42,0.00,15.45,69.10,25.02,Sitting
226,2.88,0.00,15.63,69.10,24.96,Sitting
206,2.53,0.00,15.41,69.07,24.93,Sitting
201,2.25,0.00,15.33,69.06,25.02,Sitting
196,1.96,0.00,15.19,69.04,24.97,Sitting
193,1.78,0.00,15.14,69.04,24.93,Sitting
218,2.42,0.00,15.40,69.03,24.91,Sitting
238,2.85,0.00,15.59,69.03,24.89,Sitting
258,3.26,0.00,15.74,69.04,24.83,Sitting
272,3.61,0.00,15.87,69.09,24.80,Sitting
282,3.83,0.00,15.70,69.12,24.73,Sitting
277,3.23,0.00,15.54,69.16,24.86,Sitting
263,2.89,0.00,15.40,69.16,24.90,Sitting
253,2.52,0.00,15.25,69.14,24.91,Sitting
241,2.28,0.00,15.01,69.16,24.90,Sitting
264,2.74,0.00,15.29,69.14,25.01,Sitting
282,3.19,0.00,15.57,69.11,24.98,Sitting
293,3.51,0.00,15.73,69.08,24.91,Sitting
275,3.03,0.00,15.52,69.05,24.88,Sitting
264,2.65,0.00,15.39,69.05,24.93,Sitting
256,2.40,0.00,15.24,69.06,24.93,Sitting
252,2.18,0.00,15.15,69.05,24.89,Sitting
250,2.26,0.00,14.88,69.01,24.88,Sitting
248,2.14,0.00,15.03,69.01,24.97,Sitting
272,2.69,0.00,15.43,69.01,24.94,Sitting
288,3.16,0.00,15.68,69.01,24.91,Sitting
285,1.89,0.00,15.31,69.03,24.90,Sitting
286,1.77,0.00,15.24,69.03,25.04,Sitting
280,1.69,0.00,15.12,69.04,25.04,Sitting
273,1.65,0.00,15.06,69.04,25.03,Sitting
293,2.39,0.00,15.38,69.04,25.02,Sitting
309,2.99,0.00,15.65,69.04,25.00,Sitting
322,3.46,0.00,15.81,69.04,24.95,Sitting
331,3.93,0.00,15.98,69.03,24.92,Sitting
304,3.43,0.00,15.63,69.00,24.88,Sitting
291,3.06,0.00,15.69,68.99,24.95,Sitting
281,2.90,0.00,15.49,69.00,24.98,Sitting
273,2.76,0.00,15.30,68.97,24.94,Sitting
