flex,fsr1,fsr2,fsr3,pitch,roll,label
0,0.00,0.00,11.05,6.87,22.72,Walking
0,0.00,0.00,11.43,9.15,23.59,Walking
0,0.00,0.00,11.64,11.21,24.73,Walking
0,0.00,0.00,11.28,13.15,25.95,Walking
0,0.00,0.00,10.95,15.64,26.94,Walking
23,0.00,0.00,10.72,18.41,27.07,Walking
73,0.00,0.00,10.46,21.36,26.41,Walking
160,0.00,0.00,11.02,24.35,25.24,Walking
246,0.00,0.00,11.39,27.15,24.31,Walking
310,0.00,0.00,11.79,29.42,23.33,Walking
383,0.00,0.00,12.22,31.23,22.21,Walking
431,0.00,0.00,12.01,32.62,21.37,Walking
483,0.00,0.00,12.07,33.82,20.77,Walking
547,0.00,0.00,12.08,34.78,20.06,Walking
604,0.00,0.00,12.23,35.58,19.12,Walking
652,0.00,0.00,12.76,35.93,18.00,Walking
694,0.00,0.00,13.25,35.83,16.83,Walking
729,0.00,0.00,13.62,35.17,15.96,Walking
720,0.00,0.00,13.92,33.89,15.15,Walking
669,0.00,0.00,13.77,31.70,14.18,Walking
579,0.00,0.00,13.34,29.41,13.35,Walking
473,0.00,0.00,12.93,27.09,12.91,Walking
382,0.00,0.00,12.63,24.57,12.73,Walking
320,0.00,0.00,12.32,22.20,12.72,Walking
256,0.00,0.00,11.81,19.56,13.06,Walking
205,0.00,0.00,11.28,16.36,13.68,Walking
164,0.00,0.00,11.03,13.15,14.20,Walking
131,0.00,0.00,10.85,10.40,14.12,Walking
105,0.00,0.00,10.76,8.48,14.11,Walking
84,0.00,0.00,10.50,6.57,14.56,Walking
67,0.00,0.00,10.96,4.55,15.90,Walking
53,0.00,0.00,10.80,2.17,17.66,Walking
43,0.00,0.00,10.82,-1.01,18.97,Walking
34,0.00,0.00,10.86,-3.84,19.57,Walking
27,0.00,0.00,9.59,-5.83,20.33,Walking
22,0.00,0.00,9.32,-6.91,21.42,Walking
17,0.00,0.00,9.21,-7.38,22.22,Walking
14,0.00,0.00,9.02,-9.32,22.60,Walking
11,0.00,0.00,8.76,-14.27,22.12,Walking
9,0.00,0.00,9.32,-15.36,22.23,Walking
7,0.00,0.00,9.69,-12.49,21.76,Walking
5,0.00,0.00,10.09,-12.51,20.30,Walking
4,0.00,0.00,10.09,-14.89,20.63,Walking
3,0.00,0.00,10.32,-16.07,21.68,Walking
2,0.00,0.00,10.68,-16.85,22.63,Walking
2,0.00,0.00,10.60,-17.87,23.97,Walking
1,0.00,0.00,11.37,-18.89,25.57,Walking
1,0.00,0.00,11.66,-19.83,26.68,Walking
1,0.00,0.00,12.08,-20.68,27.25,Walking
0,0.00,0.00,12.70,-21.44,27.51,Walking
0,0.00,0.00,12.98,-22.17,28.06,Walking
0,0.00,0.00,13.06,-22.77,28.80,Walking
0,0.00,0.00,13.20,-23.22,29.63,Walking
0,0.00,0.00,13.63,-23.61,30.70,Walking
0,0.00,0.00,13.83,-23.94,31.80,Walking
0,0.00,0.00,14.08,-24.10,32.51,Walking
0,0.51,0.00,14.01,-24.22,32.92,Walking
0,0.42,0.00,14.02,-24.37,33.27,Walking
0,0.33,0.00,14.16,-24.34,33.80,Walking
0,0.75,0.00,14.21,-24.28,34.36,Walking
0,1.86,0.00,14.07,-24.25,34.99,Walking
0,2.94,0.00,14.48,-24.33,35.70,Walking
0,4.05,0.00,14.79,-24.52,36.41,Walking
0,5.08,0.00,15.09,-24.78,36.98,Walking
0,5.40,0.00,15.30,-25.00,37.47,Walking
0,5.07,0.00,14.81,-25.20,37.95,Walking
0,2.44,0.00,14.77,-25.36,38.45,Walking
0,1.07,0.00,14.72,-25.34,38.62,Walking
0,0.42,0.00,14.64,-25.10,38.74,Walking
0,1.54,0.00,14.59,-25.10,39.49,Walking
0,1.80,0.00,14.64,-25.49,40.94,Walking
0,1.00,0.00,14.68,-26.06,42.22,Walking
0,1.59,0.00,14.01,-26.54,43.04,Walking
0,2.06,0.00,13.66,-26.96,43.42,Walking
0,2.70,0.00,13.85,-27.65,44.01,Walking
0,2.74,0.00,13.95,-27.66,44.45,Walking
0,3.57,0.00,13.70,-26.85,44.26,Walking
0,4.71,0.00,13.93,-26.18,44.32,Walking
0,4.38,0.00,14.02,-25.06,44.50,Walking
0,3.38,0.00,14.01,-22.88,44.47,Walking
0,2.04,0.00,14.02,-19.44,44.01,Walking
0,0.85,0.00,13.78,-15.33,43.83,Walking
0,0.00,0.00,13.27,-12.32,44.55,Walking
0,0.00,0.00,12.60,-9.05,45.37,Walking
0,0.00,0.00,12.32,-5.20,45.67,Walking
28,0.00,0.00,12.46,-1.29,45.54,Walking
77,0.00,0.00,12.67,2.63,45.28,Walking
143,0.00,0.00,12.58,6.37,44.88,Walking
193,0.00,0.00,12.26,9.97,44.51,Walking
270,0.00,0.00,11.61,14.03,44.46,Walking
335,0.00,0.00,11.25,17.38,44.02,Walking
429,0.00,0.00,10.96,20.69,43.82,Walking
523,0.00,0.00,11.10,23.50,43.47,Walking
579,0.00,0.00,11.14,26.28,42.94,Walking
661,0.00,0.00,11.38,30.00,41.51,Walking
712,0.00,0.00,10.68,32.10,39.88,Walking
765,0.00,0.00,10.43,34.02,38.55,Walking
786,0.00,0.00,10.15,35.47,37.53,Walking
819,0.00,0.00,10.35,36.39,36.77,Walking
832,0.00,0.00,10.07,36.93,36.09,Walking
845,0.00,0.00,10.50,37.36,35.36,Walking
845,0.00,0.00,10.97,37.57,34.44,Walking
833,0.00,0.00,11.30,37.47,33.25,Walking
804,0.00,0.00,11.37,37.11,31.73,Walking
719,0.00,0.00,11.41,36.39,30.43,Walking
612,0.00,0.00,11.46,35.50,29.87,Walking
536,0.00,0.00,11.39,34.19,29.51,Walking
441,0.00,0.00,11.63,32.50,29.09,Walking
370,0.00,0.00,11.96,30.28,28.69,Walking
306,0.00,0.00,12.29,27.89,28.37,Walking
245,0.00,0.00,12.33,25.12,28.22,Walking
196,0.00,0.00,12.20,22.23,28.23,Walking
156,0.00,0.00,11.40,18.89,28.24,Walking
125,0.00,0.00,11.38,16.09,27.85,Walking
100,0.00,0.00,11.68,13.30,27.21,Walking
80,0.00,0.00,11.54,10.82,26.77,Walking
64,0.00,0.00,11.98,8.33,26.48,Walking
51,0.00,0.00,12.08,6.38,26.18,Walking
41,0.00,0.00,12.26,4.34,26.28,Walking
32,0.00,0.00,11.66,1.34,27.59,Walking
26,0.00,0.00,11.35,-2.39,29.39,Walking
21,0.00,0.00,10.70,-5.87,30.76,Walking
16,0.00,0.00,10.63,-10.07,31.44,Walking
13,0.00,0.00,10.15,-12.08,31.63,Walking
10,0.00,0.00,10.41,-8.28,31.60,Walking
8,0.00,0.00,10.50,-5.41,30.85,Walking
6,0.00,0.00,10.50,-8.72,30.15,Walking
5,0.00,0.00,10.56,-12.29,29.85,Walking
4,0.00,0.00,10.42,-14.81,29.66,Walking
3,0.00,0.00,10.59,-15.59,29.46,Walking
2,0.00,0.00,10.93,-15.93,29.82,Walking
2,0.00,0.00,11.20,-16.58,30.44,Walking
1,0.00,0.00,11.78,-17.97,30.52,Walking
1,0.00,0.00,12.40,-19.61,30.02,Walking
1,0.00,0.00,12.87,-20.65,29.66,Walking
0,0.00,0.00,12.87,-20.86,29.95,Walking
0,0.00,0.00,12.92,-20.83,31.18,Walking
0,0.00,0.00,12.98,-21.51,32.72,Walking
0,0.00,0.00,13.15,-22.71,33.93,Walking
0,0.00,0.00,13.37,-23.57,34.68,Walking
0,0.00,0.00,13.70,-23.90,35.34,Walking
0,0.00,0.00,13.84,-24.05,35.89,Walking
0,0.00,0.00,14.15,-24.39,36.30,Walking
0,0.00,0.00,14.11,-24.78,36.47,Walking
0,0.00,0.00,14.14,-24.98,36.69,Walking
0,0.00,0.00,14.26,-24.97,36.91,Walking
0,0.00,0.00,14.59,-24.90,37.33,Walking
0,0.00,0.00,14.42,-24.98,37.86,Walking
